,Country,Happiness Score_x_x,Economy (GDP)_x_x,Family (Social Support)_x_x,Freedom_x_x,Generosity_x_x,Year_x_x,Happiness Score_y_x,Economy (GDP)_y_x,Family (Social Support)_y_x,Freedom_y_x,Generosity_y_x,Year_y_x,Happiness Score_x_y,Economy (GDP)_x_y,Family (Social Support)_x_y,Freedom_x_y,Generosity_x_y,Generosity_x_y,Year_x_y,Happiness Score_y_y,Economy (GDP)_y_y,Family (Social Support)_y_y,Freedom_y_y,Generosity_y_y,Generosity_y_y,Year_y_y,Happiness Score,Economy (GDP),Family (Social Support),Freedom,Generosity,Year
22,France,6.489,1.293,1.466,0.52,0.098,2018,6.592,1.324,1.472,0.436,0.111,2019,6.663799763,1.268129349,1.458839178,0.514050901,-0.130641967,0.112607703,2020,6.69,1.421,1.081,0.536,-0.147,0.092,2021,6.687,"1,863","1,219",0.567,"0,070",2022
23,Mexico,6.488,1.038,1.252,0.479,0.069,2018,6.595,1.07,1.323,0.433,0.074,2019,6.465000153,1.024387479,1.226333499,0.553892553,-0.175266623,0.083094485,2020,6.317,1.126,0.83,0.585,-0.147,0.092,2021,6.128,"1,552","0,886",0.621,"0,092",2022
24,Chile,6.476,1.131,1.331,0.431,0.197,2018,6.444,1.159,1.369,0.357,0.187,2019,6.228499889,1.096992493,1.323286891,0.417482227,-0.065668367,0.155579001,2020,6.172,1.2,0.946,0.438,-0.044,0.159,2021,6.172,"1,651","1,080",0.46,"0,124",2022
26,Panama,6.43,1.112,1.438,0.597,0.125,2018,6.321,1.149,1.442,0.516,0.109,2019,6.304800034,1.097667813,1.376149297,0.57984978,-0.153927714,0.097207308,2020,6.18,1.298,0.976,0.596,-0.166,0.079,2021,6.309,"1,715","1,107",0.592,"0,049",2022
27,Brazil,6.419,0.986,1.474,0.493,0.11,2018,6.3,1.004,1.439,0.39,0.099,2019,6.375599861,0.952679873,1.363464117,0.483292729,-0.101812392,0.131674588,2020,6.33,1.028,0.944,0.514,-0.071,0.142,2021,6.293,"1,462","1,044",0.546,"0,131",2022
28,Argentina,6.388,1.073,1.468,0.57,0.062,2018,6.086,1.092,1.432,0.471,0.066,2019,5.974699974,1.028465629,1.372543693,0.520840347,-0.194913864,0.070100471,2020,5.929,1.162,0.98,0.544,-0.182,0.069,2021,5.967,"1,592","1,102",0.555,"0,081",2022
30,Uruguay,6.379,1.093,1.459,0.625,0.13,2018,6.293,1.124,1.465,0.523,0.127,2019,6.440100193,1.071000457,1.425081134,0.59426707,-0.101103112,0.132143691,2020,6.431,1.164,1.042,0.625,-0.092,0.128,2021,6.474,"1,615","1,180",0.665,"0,103",2022
32,Saudi Arabia,6.371,1.379,1.331,0.509,0.098,2018,6.375,1.403,1.357,0.439,0.08,2019,6.406499863,1.334328532,1.309950113,0.548477471,-0.168695062,0.087440684,2020,6.494,1.435,0.964,0.603,-0.149,0.09,2021,6.523,"1,870","1,092",0.651,"0,078",2022
33,Singapore,6.343,1.529,1.451,0.631,0.261,2018,6.262,1.572,1.463,0.556,0.271,2019,6.377099991,1.519580126,1.39545691,0.635317206,0.029879224,0.218770906,2020,6.377,1.695,1.019,0.664,-0.018,0.176,2021,6.48,"2,149","1,127",0.672,"0,163",2022
34,Malaysia,6.322,1.161,1.258,0.356,0.311,2018,5.339,1.221,1.171,0.508,0.26,2019,5.384300232,1.168421626,1.17400229,0.596941531,0.114726797,0.274886161,2020,5.384,1.259,0.797,0.624,0.125,0.27,2021,5.711,"1,689","0,938",0.654,"0,213",2022
